user_role,department,country,city,device_type,device_fingerprint,browser,os,auth_method,resource_accessed,login_hour,session_duration,failed_login_attempts,command_count,device,operating_system,resource
2,1,0,7,0,346,1,2,0,0,22,3,9,29,3,3,5
2,1,0,7,0,372,3,2,2,2,21,3,9,38,3,3,5
2,1,4,10,1,203,2,1,2,0,19,3,10,15,3,3,5
2,1,4,0,1,152,2,1,2,2,21,4,14,25,3,3,5
0,3,2,11,2,713,1,2,0,0,21,1,8,34,1,0,5
3,2,1,9,2,426,1,1,0,4,21,3,9,7,3,3,5
4,4,4,8,0,467,3,2,0,0,22,3,10,34,3,3,5
1,0,4,10,2,117,2,2,3,5,21,1,12,16,3,3,5
4,4,2,11,0,186,3,2,3,6,21,1,10,32,3,3,5
1,0,4,10,1,484,3,0,0,6,20,2,14,23,3,3,5
2,1,0,2,1,268,1,2,2,2,21,3,11,6,3,3,5
3,2,4,10,1,443,1,0,2,2,22,2,8,23,3,3,5
0,3,3,5,0,475,2,1,0,0,20,2,11,30,3,3,5
4,4,4,0,0,322,3,2,0,2,23,1,11,38,3,3,5
1,0,0,2,2,25,1,0,3,0,19,4,6,12,3,3,5
0,3,2,11,2,177,3,0,0,2,20,4,12,33,3,3,5
0,3,4,8,2,82,3,2,2,6,20,1,8,29,3,3,5
1,0,4,0,2,150,3,1,2,0,20,2,6,6,3,3,5
4,4,3,5,1,136,3,0,2,0,22,2,6,36,3,3,5
2,1,4,10,0,306,2,1,3,1,21,2,10,11,3,3,5
3,2,2,11,0,304,2,0,3,2,21,2,7,21,3,3,5
3,2,1,1,1,360,2,1,0,4,21,3,7,26,3,3,5
3,2,4,10,2,426,3,1,1,4,5,18,3,36,3,3,5
3,2,0,2,2,368,2,0,2,1,23,1,12,25,3,3,5
2,1,2,11,1,482,3,2,2,0,19,2,13,12,3,3,5
4,4,1,3,2,292,3,2,2,0,21,2,12,7,3,3,5
2,1,3,4,2,56,2,2,0,2,20,1,14,27,3,3,5
4,4,0,7,2,59,1,0,0,0,22,2,12,39,3,3,5
1,0,3,5,0,480,2,0,0,3,21,4,9,29,3,3,5
4,4,2,11,1,18,2,1,3,6,23,1,14,15,3,3,5
2,1,3,4,0,275,2,0,0,2,19,3,14,36,3,3,5
3,2,4,0,2,168,2,1,2,1,22,3,8,5,3,3,5
1,0,3,4,1,39,3,1,3,6,19,1,13,6,3,3,5
2,1,0,7,0,372,3,2,2,2,21,3,6,7,3,3,5
4,4,2,11,2,250,1,1,2,0,23,3,7,26,3,3,5
1,0,3,5,0,157,3,1,0,0,21,3,13,7,3,3,5
1,0,2,11,2,296,3,0,3,0,19,1,13,17,3,3,5
0,3,1,6,0,104,3,2,3,6,21,2,11,38,3,3,5
2,1,3,4,0,257,3,1,0,2,20,3,13,5,3,3,5
1,0,1,3,2,291,1,1,2,3,21,4,13,28,3,3,5
3,2,2,11,1,365,1,1,3,2,23,2,7,36,3,3,5
1,0,3,4,0,393,3,2,2,6,23,2,8,22,3,3,5
3,2,0,2,1,355,2,1,2,2,20,3,12,23,3,3,5
1,0,1,9,2,280,4,0,1,2,2,15,2,35,3,3,5
1,0,0,2,2,178,2,2,0,3,21,2,7,33,3,3,5
3,2,4,8,0,278,1,0,3,1,22,3,11,10,3,3,5
1,0,0,7,0,76,1,0,0,6,21,1,7,8,3,3,5
1,0,0,7,2,242,2,1,2,6,23,1,7,40,3,3,5
4,4,2,11,0,330,1,0,0,2,19,3,7,34,3,3,5
3,2,0,2,0,355,2,1,2,2,22,2,9,13,3,3,5
0,3,0,2,2,371,2,1,0,6,19,3,12,6,3,3,5
4,4,2,11,0,471,1,0,3,6,21,4,11,26,3,3,5
1,0,0,2,0,469,2,0,3,0,22,1,10,33,3,3,5
3,2,1,9,0,98,1,1,0,1,21,2,9,32,3,3,5
4,4,4,10,1,388,1,2,2,6,20,4,7,5,3,3,5
4,4,1,1,0,246,1,0,3,3,21,3,13,16,3,3,5
0,3,3,5,2,442,2,1,0,2,21,1,7,20,3,3,5
1,0,2,11,1,319,1,2,3,0,20,4,13,37,3,3,5
0,3,3,5,2,71,2,0,2,6,20,2,9,30,3,3,5
0,3,2,11,0,337,2,0,0,0,18,1,10,36,3,3,5
1,0,2,11,1,296,3,0,3,0,21,3,6,13,3,3,5
1,0,0,2,0,178,2,2,0,3,21,3,7,39,3,3,5
2,1,3,4,2,220,2,2,0,0,20,1,13,9,3,3,5
2,1,1,3,0,135,1,2,3,2,21,4,6,8,3,3,5
1,0,1,1,1,431,3,1,2,2,22,1,8,17,3,3,5
3,2,4,0,2,364,3,0,3,4,22,1,7,27,3,3,5
1,0,3,4,1,94,4,2,1,3,1,15,3,27,3,3,5
0,3,1,6,0,134,3,0,3,0,22,4,9,38,3,3,5
0,3,2,11,2,67,2,1,3,0,19,1,9,5,3,3,5
3,2,2,11,2,156,3,2,0,1,21,2,9,15,3,3,5
4,4,2,11,2,447,2,0,2,3,19,3,9,16,3,3,5
1,0,1,3,1,311,3,1,2,2,20,4,9,10,3,3,5
3,2,1,1,2,27,1,0,0,2,23,2,11,5,3,3,5
3,2,4,10,2,382,3,0,2,4,21,1,7,28,3,3,5
1,0,2,11,2,296,3,0,3,0,21,2,9,38,3,3,5
2,1,0,7,0,478,3,2,3,2,20,4,12,12,3,3,5
1,0,1,3,1,420,1,2,0,0,21,3,12,36,3,3,5
3,2,0,2,0,363,2,0,2,2,20,4,6,5,3,3,5
2,1,1,6,1,62,2,1,2,1,20,1,14,33,3,3,5
3,2,0,2,2,55,2,1,3,1,21,1,12,17,3,3,5
2,1,1,6,0,40,2,1,0,2,19,3,11,35,3,3,5
1,0,1,3,1,128,3,0,2,3,21,4,7,9,3,3,5
0,3,2,11,2,218,2,0,2,6,20,4,11,20,3,3,5
0,3,0,7,0,411,2,1,2,0,19,4,10,39,3,3,5
2,1,0,7,2,62,3,1,1,1,0,5,3,18,3,3,5
2,1,3,4,2,38,3,0,0,0,20,3,6,23,3,3,5
0,3,3,4,2,350,3,1,0,2,21,105,10,165,3,3,3
2,1,4,10,2,401,2,0,2,2,21,288,8,258,3,3,2
4,4,1,9,2,392,2,2,2,6,20,2,14,8,3,3,5
2,1,1,6,2,62,2,1,2,1,19,4,6,12,3,3,5
1,0,4,10,1,367,2,2,2,0,20,2,11,30,3,3,5
4,4,0,7,1,429,1,2,3,3,22,1,8,13,3,3,5
1,0,4,10,1,484,3,0,0,6,22,1,6,24,3,3,5
1,0,0,2,0,148,2,1,0,3,22,1,8,15,3,3,5
2,1,4,10,2,300,1,0,0,1,19,3,7,28,3,3,5
1,0,3,5,1,88,2,1,0,6,22,4,13,37,3,3,5
4,4,2,11,0,60,3,0,3,3,21,4,8,21,3,3,5
4,4,1,1,2,460,1,0,3,2,20,2,12,35,3,3,5
2,1,4,0,1,152,2,1,2,2,22,2,11,26,3,3,5
1,0,1,9,2,453,2,2,2,2,21,1,12,31,3,3,5
3,2,1,6,1,265,1,2,3,4,21,3,12,5,3,3,5
4,4,2,11,0,60,2,0,3,0,21,3,6,13,3,3,5
1,0,2,11,1,79,3,0,3,3,21,2,9,29,3,3,5
4,4,4,0,0,322,3,2,0,6,22,2,9,19,3,3,5
4,4,2,11,0,60,2,0,3,0,23,4,10,39,3,3,5
0,3,2,11,2,218,2,0,2,6,20,4,10,38,3,3,5
3,2,1,1,2,27,2,0,0,2,23,2,13,19,3,3,5
3,2,1,9,2,426,1,1,0,2,23,4,9,29,3,3,5
4,4,4,8,2,58,3,0,3,0,22,275,6,221,3,3,4
3,2,1,1,1,153,1,0,2,1,22,3,10,6,3,3,5
3,2,0,2,2,295,3,1,0,2,21,1,6,38,3,3,5
3,2,1,1,2,394,1,2,2,4,23,2,8,26,3,3,5
4,4,1,6,2,2,3,2,3,2,19,2,13,15,3,3,5
1,0,2,11,0,169,2,0,0,5,21,4,10,33,3,3,5
4,4,4,10,2,308,3,2,0,3,20,222,12,233,3,3,2
3,2,0,7,0,140,3,0,2,2,22,3,6,26,3,3,5
0,3,2,11,2,218,2,0,2,6,21,1,11,12,3,3,5
2,1,3,4,2,220,2,2,0,0,21,4,13,20,3,3,5
2,1,0,2,1,170,1,1,3,1,19,3,11,38,3,3,5
1,0,0,7,1,87,2,2,3,0,22,1,9,40,3,3,5
1,0,0,2,1,158,1,0,3,2,22,4,13,12,3,3,5
3,2,1,1,2,27,2,0,0,2,23,3,13,40,3,3,5
2,1,4,10,1,180,1,2,3,0,21,5,4,29,3,3,5
3,2,4,0,2,499,3,1,0,2,20,4,13,40,3,3,5
2,1,1,6,0,173,3,1,2,1,22,2,11,18,3,3,5
2,1,3,4,2,220,2,2,0,0,20,4,9,23,3,3,5
2,1,4,8,2,463,2,0,0,1,22,1,11,35,3,3,5
3,2,0,2,2,235,3,1,3,1,20,4,14,19,3,3,5
0,3,2,11,2,454,3,0,3,0,19,4,13,20,3,3,5
2,1,4,10,2,401,2,0,2,2,22,3,12,6,3,3,5
2,1,1,6,0,96,1,1,3,0,21,4,10,11,3,3,5
1,0,0,2,1,432,1,2,2,6,19,1,12,37,3,3,5
0,3,1,1,2,378,2,1,0,2,20,3,6,15,3,3,5
2,1,0,2,2,261,3,0,0,0,21,2,13,28,3,3,5
1,0,1,3,2,458,2,2,0,6,23,4,10,30,3,3,5
2,1,4,0,0,209,1,2,3,1,20,1,12,28,3,3,5
1,0,2,11,2,409,3,2,0,3,22,1,12,29,3,3,5
4,4,3,4,1,222,1,1,3,3,20,4,13,28,3,3,5
2,1,4,8,0,243,3,0,0,0,22,4,12,21,3,3,5
2,1,1,6,2,348,1,2,2,1,19,2,11,22,3,3,5
2,1,2,11,0,485,1,0,2,2,21,2,11,29,3,3,5
1,0,0,2,2,385,3,2,2,0,19,2,10,7,3,3,5
2,1,1,1,1,317,2,0,0,2,21,2,10,8,3,3,5
2,1,3,5,1,77,2,1,3,2,21,2,9,20,3,3,5
3,2,3,4,0,466,3,0,3,2,20,2,12,36,3,3,5
3,2,2,11,0,438,1,0,3,4,22,3,8,32,3,3,5
4,4,0,7,1,262,3,2,3,2,20,3,10,26,3,3,5
0,3,3,5,2,442,2,1,0,0,22,1,8,23,3,3,5
3,2,4,10,1,495,1,1,3,4,19,3,13,5,3,3,5
0,3,3,4,1,185,2,0,2,6,20,4,10,9,3,3,5
1,0,1,1,1,431,3,1,2,2,21,4,11,7,3,3,5
4,4,2,11,0,366,3,0,0,3,22,4,6,32,3,3,5
4,4,4,10,0,436,3,2,0,0,19,1,9,10,3,3,5
1,0,3,4,1,39,3,1,3,6,19,3,14,23,3,3,5
2,1,2,11,1,314,3,2,3,0,19,4,10,7,3,3,5
3,2,1,6,1,265,1,2,3,4,22,3,6,5,3,3,5
3,2,3,5,1,239,2,1,0,2,21,4,9,12,3,3,5
2,1,3,4,1,264,3,0,3,2,20,2,11,28,3,3,5
0,3,1,3,1,459,2,1,2,2,21,3,12,13,3,3,5
2,1,2,11,0,485,1,0,2,2,21,3,12,32,3,3,5
4,4,4,10,2,183,4,1,1,3,3,11,3,32,3,3,5
3,2,0,2,2,368,2,0,2,1,22,3,10,5,3,3,5
1,0,1,3,0,266,3,0,2,5,21,2,11,14,3,3,5
1,0,3,5,1,421,2,1,2,2,21,4,7,17,3,3,5
3,2,4,0,2,141,3,0,3,2,19,2,7,39,3,3,5
4,4,2,11,0,37,1,2,3,3,20,4,8,20,3,3,5
2,1,4,0,1,78,3,1,2,0,21,3,9,13,3,3,5
4,4,2,11,0,60,2,0,3,0,21,4,11,23,3,3,5
2,1,2,11,0,230,3,1,3,1,21,1,11,29,3,3,5
2,1,0,7,2,354,1,2,3,2,19,4,8,40,3,3,5
1,0,2,11,1,496,2,2,3,6,20,3,6,5,3,3,5
2,1,2,11,2,543,1,1,2,1,19,2,8,9,0,2,5
2,1,0,2,1,416,2,0,3,0,21,2,9,5,3,3,5
2,1,0,7,1,939,3,2,0,0,21,1,14,25,2,0,5
1,0,1,9,1,413,4,0,1,6,4,5,2,9,3,3,5
4,4,2,11,1,95,1,0,2,2,21,4,9,18,3,3,5
4,4,2,11,2,447,2,0,2,6,20,2,12,29,3,3,5
3,2,0,2,0,340,3,1,3,2,21,2,14,10,3,3,5
1,0,3,4,1,274,1,0,0,5,21,3,7,35,3,3,5
1,0,1,3,1,311,3,1,2,5,18,1,8,30,3,3,5
4,4,0,2,1,212,2,2,0,0,21,2,6,5,3,3,5
2,1,2,11,2,13,2,0,2,1,21,4,13,22,3,3,5
3,2,4,10,2,382,3,0,2,4,21,2,7,15,3,3,5
1,0,3,5,2,376,3,1,0,3,21,3,12,8,3,3,5
1,0,1,3,1,420,1,2,0,0,22,4,12,34,3,3,5
4,4,2,11,2,710,1,0,0,2,23,3,8,37,1,0,5
4,4,4,10,2,147,1,0,3,2,21,3,7,35,3,3,5
2,1,4,10,1,263,2,2,2,0,19,3,8,28,3,3,5
2,1,4,0,0,68,2,0,3,1,22,1,13,20,3,3,5
4,4,0,7,2,92,3,0,0,3,20,4,14,24,3,3,5
0,3,3,5,0,483,4,2,2,2,1,16,2,30,3,3,5
1,0,1,9,1,53,3,0,2,3,22,3,7,6,3,3,5
0,3,1,9,1,69,2,0,0,2,19,1,14,29,3,3,5
2,1,3,4,2,238,2,0,0,1,20,2,11,11,3,3,5
4,4,2,11,0,324,1,2,0,2,21,4,7,36,3,3,5
3,2,0,2,0,363,2,0,2,4,21,2,14,9,3,3,5
2,1,2,11,0,107,1,2,2,0,21,4,10,7,3,3,5
0,3,4,10,1,123,1,2,3,0,20,3,11,17,3,3,5
0,3,1,3,0,483,3,2,2,2,3,19,3,23,3,3,5
4,4,0,2,1,427,1,1,3,0,21,3,7,35,3,3,5
4,4,3,4,1,290,2,0,2,3,20,4,6,37,3,3,5
4,4,2,11,2,447,2,0,2,6,21,3,9,14,3,3,5
2,1,2,11,2,143,2,1,3,1,21,2,7,9,3,3,5
4,4,2,11,2,381,3,1,0,3,21,2,6,11,3,3,5
2,1,4,0,1,50,2,1,0,1,20,2,8,13,3,3,5
2,1,4,10,1,241,2,0,2,0,20,4,9,22,3,3,5
2,1,4,8,0,488,2,2,2,0,20,1,9,37,3,3,5
1,0,0,2,2,178,2,2,0,3,22,2,8,6,3,3,5
2,1,1,6,2,11,3,0,2,2,19,4,7,31,3,3,5
0,3,2,11,0,112,1,0,0,0,18,3,13,36,3,3,5
2,1,0,7,2,305,2,0,2,2,21,1,7,7,3,3,5
0,3,2,11,2,454,3,0,3,6,20,1,10,36,3,3,5
2,1,2,11,1,482,3,2,2,2,19,1,12,40,3,3,5
4,4,4,0,1,430,2,2,0,0,22,2,14,20,3,3,5
3,2,2,11,2,156,3,2,0,2,21,2,8,11,3,3,5
2,1,3,4,1,19,2,0,2,1,19,2,6,5,3,3,5
4,4,1,3,1,1,1,1,2,0,21,2,14,29,3,3,5
1,0,2,11,2,296,3,0,3,0,21,3,6,22,3,3,5
1,0,3,5,0,32,2,0,3,2,21,4,13,35,3,3,5
3,2,2,11,0,438,1,0,3,4,20,1,7,13,3,3,5
1,0,4,8,1,23,2,1,3,2,20,4,12,6,3,3,5
1,0,1,6,1,315,1,2,3,6,22,1,8,7,3,3,5
0,3,2,11,0,425,3,2,0,0,21,1,11,24,3,3,5
1,0,4,0,2,433,1,1,3,6,19,1,11,22,3,3,5
2,1,3,5,0,452,1,0,3,1,21,1,9,14,3,3,5
1,0,0,2,0,469,2,0,3,0,20,3,13,39,3,3,5
1,0,4,8,1,487,2,0,3,0,19,3,10,32,3,3,5
3,2,2,11,1,365,3,1,3,2,21,1,12,20,3,3,5
0,3,1,6,0,104,3,2,3,6,18,1,10,27,3,3,5
2,1,4,0,1,78,3,1,2,1,18,2,9,6,3,3,5
0,3,2,11,2,72,2,0,2,0,20,1,11,19,3,3,5
0,3,3,5,1,64,1,2,3,6,20,4,8,9,3,3,5
3,2,0,2,2,733,1,1,3,2,21,3,11,28,0,2,5
1,0,2,11,2,127,4,1,2,0,1,16,2,15,3,3,5
0,3,1,9,1,69,2,0,0,2,19,2,11,37,3,3,5
0,3,2,11,2,279,3,1,2,2,21,3,8,13,3,3,5
1,0,3,5,2,376,3,1,0,3,22,2,13,8,3,3,5
3,2,1,1,2,394,1,2,2,4,21,2,9,16,3,3,5
1,0,3,4,1,30,3,2,2,3,21,4,7,12,3,3,5
1,0,2,11,2,16,2,1,0,0,19,1,12,24,3,3,5
1,0,3,5,1,1066,1,1,0,6,21,3,13,32,1,1,5
1,0,0,7,2,376,0,1,2,3,5,11,1,12,3,3,5
1,0,0,7,0,129,2,1,2,2,21,300,11,199,3,3,2
2,1,4,10,2,234,2,1,0,1,22,4,13,34,3,3,5
1,0,3,5,0,157,2,1,0,0,19,2,10,28,3,3,5
0,3,1,9,1,440,1,2,2,0,21,4,14,39,3,3,5
2,1,1,6,0,40,2,1,0,2,20,2,11,31,3,3,5
4,4,0,2,1,5,2,2,2,2,20,3,11,9,3,3,5
1,0,4,10,2,63,1,0,0,2,18,1,7,25,3,3,5
1,0,2,11,2,296,3,0,3,0,21,1,12,38,3,3,5
4,4,2,11,2,208,1,0,0,6,22,3,14,20,3,3,5
2,1,1,6,2,62,2,1,2,1,21,2,10,36,3,3,5
1,0,2,11,1,319,1,2,3,0,22,4,10,10,3,3,5
1,0,0,7,0,129,2,1,2,2,22,2,10,25,3,3,5
0,3,2,11,0,425,3,2,0,0,19,1,6,12,3,3,5
3,2,1,1,0,389,3,0,3,1,22,4,10,33,3,3,5
4,4,1,6,2,2,3,2,3,6,18,4,13,25,3,3,5
2,1,4,0,1,78,3,1,2,1,20,2,8,35,3,3,5
1,0,2,11,2,105,1,0,2,3,20,5,5,36,3,3,5
4,4,2,11,0,186,3,2,3,6,20,2,14,34,3,3,5
2,1,4,10,1,241,2,0,2,1,19,7,7,17,3,3,5
0,3,2,11,0,334,1,1,0,6,19,3,9,28,3,3,5
0,3,1,6,0,134,3,0,3,0,20,4,9,7,3,3,5
2,1,1,1,1,317,2,0,0,2,21,1,6,27,3,3,5
3,2,2,11,2,236,1,1,2,4,22,3,10,11,3,3,5
1,0,2,11,2,105,1,0,2,3,19,3,10,36,3,3,5
0,3,4,8,2,65,3,0,2,2,18,2,10,40,3,3,5
2,1,1,3,2,455,1,2,3,2,18,4,6,19,3,3,5
2,1,4,8,2,415,1,0,0,2,19,1,6,19,3,3,5
3,2,4,8,0,278,1,0,3,1,21,4,7,5,3,3,5
4,4,0,2,1,108,1,2,3,6,23,2,6,19,3,3,5
3,2,4,10,2,382,3,0,2,1,21,4,13,33,3,3,5
1,0,4,10,2,117,2,2,3,6,21,1,9,33,3,3,5
1,0,3,4,1,274,1,0,0,5,21,2,11,14,3,3,5
0,3,3,5,2,217,2,1,3,0,20,4,13,19,3,3,5
3,2,0,2,0,340,3,1,3,2,21,1,10,8,3,3,5
2,1,2,11,1,229,2,1,2,1,19,1,11,21,3,3,5
3,2,3,5,0,80,1,2,3,1,21,2,9,7,3,3,5
2,1,3,4,0,434,2,0,2,1,20,2,11,27,3,3,5
4,4,4,10,2,147,1,0,3,2,21,3,11,17,3,3,5
1,0,4,10,1,154,1,2,0,2,20,3,8,9,3,3,5
0,3,0,2,2,371,2,1,0,6,19,1,9,22,3,3,5
0,3,2,11,0,287,4,0,2,2,4,18,1,29,3,3,5
3,2,3,5,0,31,1,0,2,4,22,2,13,25,3,3,5
3,2,0,2,1,7,1,0,0,2,23,4,12,13,3,3,5
3,2,1,3,0,383,2,0,2,4,23,4,9,11,3,3,5
2,1,4,10,2,234,2,1,0,1,21,4,8,14,3,3,5
3,2,1,6,1,265,1,2,3,4,21,4,13,28,3,3,5
1,0,2,11,1,84,2,0,2,0,22,3,11,39,3,3,5
2,1,1,6,2,62,2,1,2,0,18,4,13,6,3,3,5
2,1,4,8,2,463,2,0,0,1,21,2,14,13,3,3,5
1,0,3,4,0,393,3,2,2,6,21,1,14,25,3,3,5
2,1,4,0,1,163,3,2,3,0,20,1,14,27,3,3,5
1,0,3,5,2,341,2,2,3,0,21,1,6,29,3,3,5
4,4,2,11,1,41,3,0,3,6,20,3,8,37,3,3,5
4,4,4,8,0,58,3,0,3,0,23,1,14,30,3,3,5
1,0,4,0,2,127,2,1,3,5,19,3,9,21,3,3,5
0,3,2,11,0,21,3,2,0,6,22,3,7,8,3,3,5
4,4,2,11,0,121,2,1,3,0,21,1,6,21,3,3,5
2,1,1,1,1,317,2,0,0,2,22,3,10,15,3,3,5
2,1,3,4,2,192,3,1,0,2,20,4,9,19,3,3,5
0,3,1,1,2,378,2,1,0,2,19,4,10,22,3,3,5
0,3,0,2,2,435,3,2,3,0,19,4,10,15,3,3,5
1,0,0,7,1,87,2,2,3,3,20,3,13,26,3,3,5
4,4,4,0,0,288,1,1,3,2,21,4,11,18,3,3,5
1,0,1,3,2,244,2,1,2,2,22,1,8,30,3,3,5
2,1,2,11,1,482,3,2,2,0,21,1,14,33,3,3,5
0,3,2,11,0,72,2,0,2,0,20,3,13,29,3,3,5
4,4,0,7,2,92,3,0,0,0,20,3,14,7,3,3,5
2,1,0,2,1,268,3,2,2,2,19,4,9,20,3,3,5
2,1,0,2,1,273,3,2,0,0,21,2,13,18,3,3,5
0,3,1,6,2,224,2,0,0,6,20,1,8,18,3,3,5
1,0,3,4,1,456,1,1,2,3,20,2,10,9,3,3,5
1,0,1,3,2,458,2,2,0,6,22,289,12,283,3,3,2
1,0,3,5,1,293,3,1,2,5,20,3,6,5,3,3,5
2,1,3,5,0,465,3,0,3,2,19,4,6,33,3,3,5
4,4,0,2,1,108,1,2,3,6,21,2,8,37,3,3,5
2,1,4,0,0,209,1,2,3,1,20,4,9,13,3,3,5
2,1,4,10,2,300,1,0,0,1,19,3,6,14,3,3,5
2,1,0,2,0,52,2,2,3,0,22,2,13,27,3,3,5
4,4,0,7,1,6,2,2,2,6,21,4,7,30,3,3,5
2,1,4,10,0,332,3,1,1,0,1,14,2,38,3,3,5
4,4,4,8,0,58,2,0,3,6,20,4,11,7,3,3,5
2,1,4,8,0,488,2,2,2,0,18,4,11,36,3,3,5
2,1,2,11,1,229,1,1,2,0,18,3,11,8,3,3,5
4,4,4,0,0,288,1,1,3,2,22,3,6,38,3,3,5
1,0,1,6,0,470,2,2,0,3,21,4,8,18,3,3,5
3,2,1,6,1,265,1,2,3,1,20,1,8,18,3,3,5
2,1,1,6,0,96,1,1,3,0,20,4,13,7,3,3,5
3,2,4,10,1,495,1,1,3,4,20,3,11,29,3,3,5
3,2,1,9,1,323,1,0,2,4,22,1,7,35,3,3,5
2,1,0,2,2,261,3,0,0,0,21,3,6,6,3,3,5
1,0,4,10,2,117,2,2,3,0,21,4,9,23,3,3,5
2,1,4,0,0,272,3,0,3,1,20,2,6,7,3,3,5
4,4,3,5,2,183,2,1,0,6,20,3,10,31,3,3,5
3,2,4,10,1,495,1,1,3,4,20,3,13,25,3,3,5
0,3,3,5,2,217,2,1,3,0,18,2,7,11,3,3,5
0,3,0,2,0,259,1,0,3,0,20,3,13,37,3,3,5
1,0,2,11,0,413,2,0,0,6,20,3,13,16,3,3,5
2,1,0,2,0,47,1,2,2,2,21,3,11,16,3,3,5
4,4,4,10,0,352,1,0,2,3,23,2,13,23,3,3,5
3,2,2,11,0,278,3,0,2,1,3,16,2,11,3,3,5
4,4,4,8,0,58,3,0,3,0,23,3,12,29,3,3,5
1,0,0,2,2,178,2,2,0,3,21,1,13,10,3,3,5
